"x"
"Psma3"
"Rtn1"
"Churc1"
"Plekhh1"
"Zfp36l1"
"Erh"
"Srsf5"
"Rbm25"
"Npc2"
"Tmed10"
"Fos"
"Ahsa1"
"Foxn3"
"Calm1"
"Lgmn"
"Clmn"
"Eml1"
"Meg3"
"Dync1h1"
"Hsp90aa1"
"Ckb"
"2010107E04Rik"
"Inf2"
"Adssl1"
"Pacs2"
"Gdi2"
"Idi1"
"Psma2"
"Hist1h2bc"
"Serpinb1a"
"Serpinb1b"
"Tubb2a"
"Tubb2b"
"Slc22a23"
"Pxdc1"
"Tmem14c"
"Higd2a"
"Hnrnpk"
"Ctsl"
"Srd5a1"
"Ndufs6"
"Tppp"
"Sdha"
"Arrdc3"
"Cetn3"
"Cox7c"
"Edil3"
"Vcan"
"Serinc5"
"Hmgcr"
"Btf3"
"Map1b"
"Erbb2ip"
"Elovl7"
"Ndufs4"
"Hmgcs1"
"2700060E02Rik"
"Adk"
"Samd8"
"Vdac2"
"Rps24"
"Tmem254b-loc3"
"Tmem254b-loc2"
"Tmem254b-loc1"
"Selk"
"Tkt"
"Spcs1"
"Ghitm"
"Txndc16"
"Fermt2"
"Bmp4"
"Cnih1"
"Ktn1"
"Hnrnpc"
"Dad1"
"Abhd4"
"Slc22a17"
"Cmtm5"
"Nedd8"
"Gjb6"
"Zdhhc20"
"Ctsb"
"Fdft1"
"Stmn4"
"Dpysl2"
"Bnip3l"
"Pdlim2"
"Bmp1"
"Lgi3"
"Itm2b"
"Tpt1"
"Rgcc"
"Lect1"
"Pcdh17"
"9630013A20Rik"
"Pcdh9"
"Commd6"
"Slain1"
"Ednrb"
"Dct"
"Mbnl2"
"Rap2a"
"Sepp1"
"Sub1"
"Ank"
"Trio"
"Cct5"
"Gm12191"
"Cox6c"
"Ankrd46"
"Pabpc1"
"Ywhaz"
"Zfp706"
"Rims2"
"Enpp2"
"Ndufb9"
"Sqle"
"Ndrg1"
"Nrbp2"
"Rpl8"
"Lgals1"
"Sox10"
"Ddx17"
"Rbx1"
"Pmm1"
"Desi1"
"Nhp2l1"
"Smdt1"
"Ndufa6"
"1810041L15Rik"
"Cntn1"
"Prickle1"
"Slc38a2"
"Slc48a1"
"Tuba1b"
"Tuba1a"
"Tmbim6"
"Gpd1"
"Pfdn5"
"Atp5g2"
"Nmral1"
"Hmox2"
"Carhsp1"
"Litaf"
"Rpl31-ps12"
"Slc25a1"
"Ap2m1"
"Eif4a2"
"Il1rap"
"Hes1"
"Apod"
"Pigz"
"Ndufb4"
"Lrrc58"
"Cox17"
"Gap43"
"BC002163-loc1"
"Atp6v1a"
"Tagln3"
"Cd47"
"Rpl24"
"Cpox"
"Cldn25"
"Cadm2"
"Atp5j"
"App"
"Olig1"
"Son"
"Atp5o"
"Ttc3"
"B3galt5"
"Tulp4"
"Mpc1"
"Prr18"
"Qk"
"Agpat4"
"Acat2"
"Psmb1"
"Ppp2r1a"
"Tceb2"
"Atp6v0c-ps2"
"Ndufb10"
"Tmem204"
"2810468N07Rik"
"Nudt3"
"Rps10"
"Gm6402"
"Glo1"
"Ndufv3"
"Rab11b"
"Rps28"
"Ndufa7"
"Rps18"
"Hspa1b"
"Hspa1a"
"Ddr1"
"Mog"
"Rcan2"
"Enpp4"
"Hsp90ab1"
"Tomm6"
"Plin3"
"Ndufa11"
"Tubb4a"
"Pja2"
"Rab31"
"Lama1"
"Epb4.1l3"
"Cyp1b1"
"Calm2"
"Nrxn1"
"Rab18"
"Colec12"
"Npc1"
"Osbpl1a"
"Ttr"
"Celf4"
"Syt4"
"Gpr17"
"Bin1"
"Reep5"
"Egr1"
"Lrrtm2"
"Matr3"
"Paip2"
"Pura"
"Cystm1"
"Ndufa2"
"Spry4"
"Sema6a"
"Slc12a2"
"Rps14"
"Onecut2"
"Sec11c"
"Tcf4"
"BC031181"
"Atp5a1"
"Mbp"
"Cyb5"
"Gal"
"Gstp1"
"Tmem151a"
"Cfl1"
"Malat1"
"Neat1"
"Frmd8"
"Fau"
"Arl2"
"Cox8a"
"Rtn3"
"Pla2g16"
"Asrgl1"
"Fth1"
"Tmem258"
"Myrf"
"Psat1"
"Abhd17b"
"Tmem2"
"Kank1"
"Slc1a1"
"Il33"
"Opalin"
"Tm9sf3"
"Scd2"
"Scd1"
"Ndufb8"
"Usmg5"
"Sfr1"
"Eif3a"
"Frmd4a"
"Atp5c1"
"Itih2"
"Commd3"
"Pip4k2a"
"Abca2"
"Ptgds"
"Tmem141"
"Ralgds"
"Fnbp1"
"Mvb12b"
"Hspa5"
"Rab14"
"Gsn"
"Psmb7"
"Rpl35"
"Zeb2"
"Tnfaip6"
"Cacnb4"
"Ermn"
"Grb14"
"Dync1i2"
"Gpr155"
"Atp5g3"
"Calcrl"
"Serping1"
"Psmc3"
"Mapk8ip1"
"Cd82"
"Hsd17b12"
"Prr5l"
"Cd59a"
"Emc7"
"Scg5"
"Srp14"
"Tyro3"
"Map1a"
"Pdia3"
"Serf2"
"Gatm"
"Secisbp2l"
"Kcnip3"
"Mal"
"Ddrgk1"
"Prnp"
"Snap25"
"Dstn"
"Cst3"
"Fkbp1a"
"Csnk2a1"
"Mapre1"
"Eif2s2"
"Dynlrb1"
"Rbm39"
"2900097C17Rik"
"Snhg11"
"Ppp1r16b"
"Serinc3"
"Dbndd2"
"Ctsa"
"Pltp"
"Atp9a"
"Bcas1"
"Bmp7"
"Gnas"
"Atp5e"
"Edn3"
"Psma7"
"Rps21"
"Col9a3"
"Stmn3"
"Stmn2"
"Tpd52"
"Fabp5"
"Car2"
"Gyg"
"Tnik"
"Sec62"
"Cldn11"
"Gnb4"
"Ndufb5"
"Dnajc19"
"Anxa5"
"Ndufc1"
"Rnf13"
"Pfn2"
"Ssr3"
"Gria2"
"Trim2"
"Rps3a1"
"Bcan"
"Hapln2"
"Arhgef2"
"Syt11"
"1500004A13Rik"
"Fdps"
"Pmvk"
"Gm9846"
"S100a13"
"S100a16"
"S100a6"
"Cers2"
"Car14"
"Otud7b"
"Sv2a"
"Phgdh"
"Tspan2"
"Csde1"
"Rap1a"
"Atp5f1"
"Lamtor5"
"Gstm5"
"Gstm7"
"Psma5"
"Sort1"
"Sars"
"Taf13"
"Hiat1"
"1810037I17Rik"
"Ugt8a"
"Ank2"
"Elovl6"
"Hadh"
"Papss1"
"H2afz"
"Adh5"
"Rap1gds1"
"Sep15"
"Sh3glb1"
"Cyr61"
"Gng5"
"Prkacb"
"Ttll7"
"Wls"
"Rps20"
"Penk"
"Mob3b"
"Dnaja1"
"Chmp5"
"Vcp"
"Grhpr"
"Tmeff1"
"Slc44a1"
"Klf4"
"Lpar1"
"Atp6v1g1"
"Ptprd"
"Rps6"
"Slc24a2"
"Jun"
"Cyp2j12"
"Leprot"
"Pde4b"
"Dhcr24"
"Tmem59"
"Scp2"
"Eps15"
"Cmpk1"
"Efcab14"
"Uqcrh"
"Akr1a1"
"Prdx1"
"Slc6a9"
"Atp6v0b"
"Elovl1"
"Tmem125"
"Ctps"
"Mfsd2a"
"BC002163-loc2"
"Map7d1"
"Psmb2"
"Marcksl1"
"Nkain1"
"Sdc3"
"Rps15a-ps4"
"Atpif1"
"Sh3bgrl3"
"Stmn1"
"Tmem50a"
"Clic4"
"Srrm1"
"Cdc42"
"Minos1"
"Sdhb"
"Kif1b"
"Park7"
"Vamp3"
"Acot7"
"Rer1"
"Prkcz"
"Tmem88b"
"Cyp51"
"Gnai1"
"Ost4"
"Add1"
"Mrfap1"
"Ppp2r2c"
"Msx1"
"Prom1"
"Qdpr"
"Lap3"
"Pcdh7"
"Arap2"
"Apbb2"
"Uchl1"
"Limch1"
"Tmem33"
"Atp8a1"
"Pdgfra"
"Paics"
"G3bp2"
"Enoph1"
"Sparcl1"
"Spp1"
"Rpl5"
"Atp5k"
"Gltp"
"Gm13826"
"Dynll1"
"Cox6a1"
"Vps29"
"Atp2a2"
"Rsrc2"
"Ubc"
"Aacs"
"Ran"
"Chchd2"
"Sbds"
"Eif4h"
"Fis1"
"Gnb2"
"Pcolce"
"Tsc22d4"
"Gjc3"
"Mmd2"
"Actb"
"Rac1"
"Tmem130"
"Arpc1a"
"Arpc1b"
"Atp5j2"
"Pomp"
"Ubl3"
"Hmgb1"
"Gng11"
"Bet1"
"Col1a2"
"Pon2"
"Shfm1"
"Ndufa4"
"Ptprz1"
"Ndufa5"
"Tmem229a"
"Gpr37"
"Atp6v1f"
"Bpgm"
"1810058I24Rik"
"Ptn"
"Mrps33"
"Rarres2"
"Tmem176b"
"Cycs"
"Hnrnpa2b1"
"Tril"
"Chn2"
"Nap1l5"
"Gng12"
"Mat2a"
"Tmsb10"
"Dqx1"
"Cct7"
"Cnbp"
"Mgll"
"Slc6a6"
"Lrrn1"
"Brk1"
"Timp4"
"Rpl32"
"March8"
"Adipor2"
"Wnk1"
"Atp6v1e1"
"Mical3"
"Slc6a13"
"M6pr"
"Grcc10"
"Tpi1"
"Gapdh"
"Cd9"
"Kcna1"
"Ccnd2"
"Mgp"
"Slco1a4"
"Ldhb"
"Itpr2"
"Gm6654"
"Ppfibp1"
"Ndufa3"
"Rps9"
"Ttyh1"
"Clcn4-2"
"Rps5"
"Chmp2a"
"Sepw1"
"Calm3"
"Fosb"
"Apoe"
"Cadm4"
"Rabac1"
"Rps16"
"Sirt2"
"Eif3k"
"Ppp1r14a"
"Aplp1"
"Psenen"
"Cox6b1"
"Mag"
"Klk6"
"Josd2"
"Emc10"
"Fcgrt"
"Rpl13a"
"Ftl1"
"Emp3"
"Svip"
"Luzp2"
"Snurf"
"Klf13"
"Vimp"
"Slco3a1"
"Rlbp1"
"Sh3gl3"
"9930013L23Rik"
"Fah"
"Picalm"
"Ndufc2"
"Aamdc"
"Pak1"
"Capn5"
"Rps3"
"Mrpl48"
"Rab6a"
"Plekhb1"
"Fam168a"
"Rhog"
"Apbb1"
"Dennd5a"
"Eif4g2"
"Far1"
"Rras2"
"Sox6"
"Rps13"
"Arl6ip1"
"Gde1"
"Ccp110"
"Uqcrc2"
"Usp31"
"Eif3c"
"Nupr1"
"Mapk3"
"Aldoa"
"Kctd13"
"Sez6l2"
"Vkorc1"
"Inpp5f"
"Fgfr2"
"Plekha1"
"Bub3"
"Kndc1"
"Caly"
"Echs1"
"Ifitm3"
"Taldo1"
"Rplp2"
"Ctsd"
"Igf2"
"Cd81"
"Tssc4"
"Ccnd1"
"Lamp1"
"Vdac3"
"Plat"
"Golga7"
"Rnf122"
"Tmem66"
"Mtus1"
"Slc25a4"
"Enpp6"
"Gpm6a"
"Clcn3"
"Spock3"
"Sc4mol"
"Klhl2"
"Ndufa13"
"Tmem59l"
"Rpl18a"
"Hhip"
"Gab1"
"Scoc"
"Tecr"
"D8Ertd738e"
"Calr"
"Prdx2"
"Vps35"
"Itfg1"
"Gnao1"
"Mt1"
"Pllp"
"Tppp3"
"Nutf2-ps1"
"Fa2h"
"Gabarapl2"
"Hsbp1"
"Cox4i1"
"Map1lc3b"
"Tcf25"
"Rhou"
"Endod1"
"Cwc15"
"Ubl5"
"Elavl3"
"Anln"
"Dpy19l1"
"Sept7"
"Jam3"
"Ntm"
"Aplp2"
"Fez1"
"Nrgn"
"Hspa8"
"Sc5d"
"Mcam"
"Rps25"
"Phldb1"
"Atp5l"
"Pafah1b2"
"Ncam1"
"Cryab"
"Rdx"
"Tspan3"
"Cspg4"
"Islr"
"Rplp1"
"Rpl4"
"Ppib"
"Nedd4"
"Fam214a"
"Arpp19"
"Tmod2"
"Elovl5"
"Eef1a1"
"Col12a1"
"Cox7a2"
"Tmem30a"
"Myo6"
"Tbx18"
"Chst2"
"Atp1b3"
"Rnf7"
"Ppp2r3a"
"Ephb1"
"Trf"
"Pcbp4"
"Gnai2"
"Rhoa"
"Tma7"
"Cspg5"
"Arpp21"
"Clasp2"
"Rpsa"
"Mobp"
"Eif1b"
"Deb1"
"Higd1a"
"Lars2"
"Slc6a20a"
"Pisd-ps3"
"Mid1ip1"
"Atp6ap2"
"Ddx3x"
"Ndufb11"
"Zcchc12"
"Rpl39"
"Lamp2"
"Zdhhc9"
"Bgn"
"Pnck"
"Bcap31"
"Atp6ap1"
"Gdi1"
"Vbp1"
"Prrg1"
"Gjb1"
"Xist"
"Magt1"
"Pgk1"
"Itm2a"
"Klhl4"
"Morf4l2"
"Plp1"
"Col4a5"
"Hsd17b10"
"Sh3kbp1"
"Gpm6b"
"Tmsb4x"
