"coord.1","coord.2","coord.3","coord.4","coord.5"
-2.80852170999203,0.0294977849287807,0.949622737000385,0.174661923146089,-0.107100151625348
-2.80843082434405,0.0295756965838547,0.948493262805917,0.174311575854431,-0.107551395124874
-2.80832395823004,0.0296673074817028,0.947165192635244,0.173899626834519,-0.108081980980103
-2.80832321826683,0.0296679418146252,0.947155996800991,0.173896774413772,-0.108085654866988
-2.80822370837878,0.0297532465931683,0.945919345545954,0.173513182278556,-0.108579717363279
-2.80818276202379,0.0297883478259525,0.945410487961218,0.17335534168554,-0.108783014329621
-2.80796723466898,0.0299731084927847,0.942732038823645,0.172524523765318,-0.109853098770736
-2.80713193046658,0.0307051892479435,0.932696634251506,0.169420982128341,-0.113838348120759
-2.80695841959121,0.0308591677011574,0.930656170249574,0.16879117567723,-0.114646084803066
-2.80693631458741,0.0308787928222113,0.930396438059622,0.168711013043018,-0.114748892439466
-2.80649455403673,0.0312755183305243,0.925288359659204,0.167137027238733,-0.116762228442565
-2.80639066999736,0.0313688119672281,0.924087148240837,0.166766890061453,-0.1172356828429
-2.80580396206437,0.0318998032040045,0.917388457970938,0.164705374504767,-0.11986947695255
-2.80566109884439,0.0320299140608753,0.915774133582607,0.164209097865469,-0.12050289931918
-2.80527775462281,0.0323836897926867,0.91152714599066,0.162906341084836,-0.122160831303922
-2.80521179130695,0.0324445651601165,0.910796352703042,0.162682171390417,-0.122446117177625
-2.80414518038046,0.0334348467347368,0.899087938018912,0.159094490462798,-0.12700616531042
-2.80358415837378,0.0339639461049246,0.893072303339687,0.157256532089636,-0.12933401703605
-2.80335211353042,0.0341837175501732,0.890595186806024,0.156500232244674,-0.130290372363695
-2.80291343342222,0.0346013540427296,0.885949186123679,0.155083113119565,-0.132079911020893
-2.80284891919597,0.034662928050697,0.88526807176889,0.154875448783232,-0.132341925153041
-2.80267914389718,0.0348250642929964,0.883477348920933,0.154329548613365,-0.133030620156942
-2.80259649396474,0.0349042665858487,0.882609443300283,0.154065139860042,-0.133363856274077
-2.80221744045779,0.0352684954189177,0.878641485888736,0.152856938497798,-0.134885334447411
-2.80219355352908,0.0352914817216415,0.878391822661244,0.152780939803553,-0.134980993523163
-2.80209038000846,0.0353911765317505,0.877318906913257,0.152454615656295,-0.13539123136114
-2.80168566883806,0.0357824024387273,0.873112381447244,0.151175321817105,-0.136999295551565
-2.80167987503298,0.035788037502189,0.87305258701321,0.15115715730578,-0.13702207440468
-2.80067319775269,0.0367697084968404,0.862688952646704,0.148010498824269,-0.140964495067386
-2.80061288631232,0.0368288225497191,0.862071052941247,0.147823080320829,-0.141198890038198
-2.80009747932568,0.0373355528092465,0.856808903243022,0.146228035882324,-0.14319177084538
-2.80007686356745,0.0373559075988451,0.856598883460866,0.146164417480544,-0.143271077710273
-2.79979990966343,0.0376293556274941,0.853777459287959,0.145309762291479,-0.144336493088721
